Time,Latitude,Longitude,Altitude,Satellites,HDOP,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Pressure,Temperature,Roll,Pitch,Yaw
1749559776.6232374,,,,,,,,,,,,,,,,,,,
1749559776.6232374,,,,,,,,,,,,,,,,,,,
1749559776.62428,,,,,,,,,,,,,,,,,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559776.625332,,,,,,,,,,,,,,,,,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559776.6263502,,,,,,,,,,,,,,,,,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559776.627336,,,,,,,,,,,,,,,,,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559776.6282468,,,,,,,,,,,,,,,,,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559776.6282468,,,,,,,,,,,,,,,,,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559776.6292536,,,,,,,,,,,,,,,,,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559776.6292536,,,,,,,,,,,,,,,,,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559776.6307158,,,,,,,,,,,,,,,,,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559776.6307158,,,,,,-170,-92,-958,-23,-134,-162,-369,334,319,,,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559776.63233,,,,,,-170,-92,-958,-23,-134,-162,-369,334,319,,,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559776.6334178,,,,,,-170,-92,-958,-23,-134,-162,-369,334,319,,,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559776.6334178,,,,,,-170,-92,-958,-23,-134,-162,-369,334,319,1004.6923828125,34.71,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559776.6353462,22.3518163,113.5764093,14.63,16,1.14,-170,-92,-958,-23,-134,-162,-369,334,319,1004.6923828125,34.71,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559776.6353462,22.3518163,113.5764093,14.63,16,1.14,-170,-92,-958,-23,-134,-162,-369,334,319,1004.6923828125,34.71,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559776.6363473,22.3518163,113.5764093,14.63,16,1.14,-170,-92,-958,-23,-134,-162,-369,334,319,1004.6923828125,34.71,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559776.6373467,22.3518163,113.5764093,14.63,16,1.14,-170,-92,-958,-23,-134,-162,-369,334,319,1004.6923828125,34.71,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559776.6383467,22.3518163,113.5764093,14.63,16,1.14,-170,-92,-958,-23,-134,-162,-369,334,319,1004.6923828125,34.71,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559776.640436,22.3518163,113.5764093,14.63,16,1.14,-170,-92,-958,-23,-134,-162,-369,334,319,1004.6923828125,34.71,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559777.2964296,22.3518163,113.5764093,14.63,16,1.14,-170,-92,-958,-23,-134,-162,-369,334,319,1004.6923828125,34.71,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559777.4098039,22.3518163,113.5764093,14.63,16,1.14,-170,-92,-958,-23,-134,-162,-369,334,319,1004.6923828125,34.71,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559777.4108195,22.3518163,113.5764093,14.63,16,1.14,-170,-92,-958,-23,-134,-162,-369,334,319,1004.6923828125,34.71,0.0919356420636177,-0.22926056385040283,-2.142913579940796
1749559777.4133413,22.3518163,113.5764093,14.63,16,1.14,-170,-92,-958,-23,-134,-162,-369,334,319,1004.6923828125,34.71,0.05280649662017822,-0.17564792931079865,-2.1314430236816406
1749559777.4175851,22.3518163,113.5764093,14.63,16,1.14,-170,-92,-958,-23,-134,-162,-369,334,319,1004.6923828125,34.71,0.05280649662017822,-0.17564792931079865,-2.1314430236816406
1749559777.4187837,22.3518163,113.5764093,14.63,16,1.14,-170,-92,-958,-23,-134,-162,-369,334,319,1004.6923828125,34.71,0.05280649662017822,-0.17564792931079865,-2.1314430236816406
1749559777.4187837,22.3518163,113.5764093,14.63,16,1.14,-170,-92,-958,-23,-134,-162,-369,334,319,1004.6923828125,34.71,0.05280649662017822,-0.17564792931079865,-2.1314430236816406
1749559777.4197865,22.3518163,113.5764093,14.63,16,1.14,-170,-92,-958,-23,-134,-162,-369,334,319,1004.6923828125,34.71,0.05280649662017822,-0.17564792931079865,-2.1314430236816406
1749559777.4207854,22.3518163,113.5764093,14.63,16,1.14,-170,-92,-958,-23,-134,-162,-369,334,319,1004.6923828125,34.71,0.05280649662017822,-0.17564792931079865,-2.1314430236816406
1749559777.4223018,22.3518163,113.5764093,14.63,16,1.14,-170,-92,-958,-23,-134,-162,-369,334,319,1004.6923828125,34.71,0.05280649662017822,-0.17564792931079865,-2.1314430236816406
1749559777.4243164,22.3518163,113.5764093,14.63,16,1.14,-170,-92,-958,-23,-134,-162,-369,334,319,1004.6923828125,34.71,0.05280649662017822,-0.17564792931079865,-2.1314430236816406
1749559777.4253168,22.3518163,113.5764093,14.63,16,1.14,-170,-92,-958,-23,-134,-162,-369,334,319,1004.6923828125,34.71,0.05280649662017822,-0.17564792931079865,-2.1314430236816406
1749559777.4263146,22.3518163,113.5764093,14.63,16,1.14,-183,-20,-985,34,104,77,-376,325,325,1004.6923828125,34.71,0.05280649662017822,-0.17564792931079865,-2.1314430236816406
1749559777.4273148,22.3518163,113.5764093,14.63,16,1.14,-183,-20,-985,34,104,77,-376,325,325,1004.6923828125,34.71,0.05280649662017822,-0.17564792931079865,-2.1314430236816406
